name	ha_id	collection_date	date_flags	region	country	division	location_1	location_2	subtype	clade_nextclade	short-clade	subclade	coverage	host	submitting_lab	accession_id	old_date	ha_segment_id	clade_gisaid	date	year
epi3629995/africa/south_africa/2024-09-06	EPI3629995	2024-09-06	unchanged	Africa	South Africa	Mpumalanga			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19531030	2024-09-06	EPI3629995|R07790-24_4	3C.2a1b.2a.2a.3a.1	2024-09-06	2024
epi3352715/africa/south_africa/2023-08-07	EPI3352715	2023-08-07	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177771	2023-08-07	EPI3352715|R09020-23_4	3C.2a1b.2a.2a.3a.1	2023-08-07	2023
epi3352699/africa/south_africa/2023-07-04	EPI3352699	2023-07-04	unchanged	Africa	South Africa	Mpumalanga			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177769	2023-07-04	EPI3352699|R07938-23_4	3C.2a1b.2a.2a.3a.1	2023-07-04	2023
epi3352675/africa/south_africa/2023-07-03	EPI3352675	2023-07-03	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177766	2023-07-03	EPI3352675|R07841-23_4	3C.2a1b.2a.2a.3a.1	2023-07-03	2023
epi3352646/africa/south_africa/2023-06-08	EPI3352646	2023-06-08	unchanged	Africa	South Africa	Province of Eastern Cape			A / H3N2	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177762	2023-06-08	EPI3352646|R06959-23_4	3C.2a1b.2a.2a.1b	2023-06-08	2023
epi3352548/africa/south_africa/2023-04-20	EPI3352548	2023-04-20	unchanged	Africa	South Africa	Province of Eastern Cape			A / H3N2	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	98.9522700814901	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177749	2023-04-20	EPI3352548|R03946-23_4	3C.2a1b.2a.2a.1b	2023-04-20	2023
epi3352540/africa/south_africa/2023-04-18	EPI3352540	2023-04-18	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177748	2023-04-18	EPI3352540|R03793-23_4	3C.2a1b.2a.2a.1b	2023-04-18	2023
epi2610528/africa/south_africa/2023-05-09	EPI2610528	2023-05-09	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_17949145	2023-05-09	EPI2610528|R04818-23_4	3C.2a1b.2a.2a.3a.1	2023-05-09	2023
epi2610360/africa/south_africa/2023-04-28	EPI2610360	2023-04-28	unchanged	Africa	South Africa	KwaZulu Natal			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_17891792	2023-04-28	EPI2610360|R04552-23_4	3C.2a1b.2a.2a.3a.1	2023-04-28	2023
epi2610352/africa/south_africa/2023-04-26	EPI2610352	2023-04-26	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_17891767	2023-04-26	EPI2610352|R04533-23_4	3C.2a1b.2a.2a.1b	2023-04-26	2023
epi2610307/africa/south_africa/2023-05-02	EPI2610307	2023-05-02	unchanged	Africa	South Africa	Unknown			A / H3N2	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_17891631	2023-05-02	EPI2610307|R04387-23_4	3C.2a1b.2a.2a.1b	2023-05-02	2023
epi2610299/africa/south_africa/2023-04-28	EPI2610299	2023-04-28	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_17891610	2023-04-28	EPI2610299|R04358-23_4	3C.2a1b.2a.2a.3a.1	2023-04-28	2023
epi2610275/africa/south_africa/2023-04-24	EPI2610275	2023-04-24	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3	2a.3	G.1.3	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_17891543	2023-04-24	EPI2610275|R04246-23_4	3C.2a1b.2a.2a.3	2023-04-24	2023
epi2610251/africa/south_africa/2023-04-21	EPI2610251	2023-04-21	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2b	2b	G.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_17891472	2023-04-21	EPI2610251|R04074-23_4	3C.2a1b.2a.2b	2023-04-21	2023
epi2610243/africa/south_africa/2023-04-20	EPI2610243	2023-04-20	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_17891448	2023-04-20	EPI2610243|R03963-23_4	3C.2a1b.2a.2a.3a.1	2023-04-20	2023
epi2610219/africa/south_africa/2023-04-19	EPI2610219	2023-04-19	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2b	2b	G.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_17891376	2023-04-19	EPI2610219|R03848-23_4	3C.2a1b.2a.2b	2023-04-19	2023
epi2610203/africa/south_africa/2023-04-19	EPI2610203	2023-04-19	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_17891328	2023-04-19	EPI2610203|R03827-23_4	3C.2a1b.2a.2a.3a.1	2023-04-19	2023
epi2312539/africa/south_africa/2022-06-21	EPI2312539	2022-06-21	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2c	2c	G.3	99.35972060535507	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_16647650	2022-06-21	EPI2312539|A/South Africa/R07607/2022	3C.2a1b.2a.2c	2022-06-21	2022
epi4246837/africa/south_africa/2025-02-28	EPI4246837	2025-02-28	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19826248	2025-02-28	EPI4246837|R01788_25A_4	3C.2a1b.2a.2a.3a.1	2025-02-28	2025
epi4246829/africa/south_africa/2025-02-19	EPI4246829	2025-02-19	unchanged	Africa	South Africa	KwaZulu Natal			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19826247	2025-02-19	EPI4246829|R01623_25A_4	3C.2a1b.2a.2a.3a.1	2025-02-19	2025
epi4246464/africa/south_africa/2025-03-24	EPI4246464	2025-03-24	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19826194	2025-03-24	EPI4246464|R03202_25A_4	3C.2a1b.2a.2a.3a.1	2025-03-24	2025
epi4246423/africa/south_africa/2025-03-06	EPI4246423	2025-03-06	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19826189	2025-03-06	EPI4246423|R01923_25A_4	3C.2a1b.2a.2a.3a.1	2025-03-06	2025
epi4246407/africa/south_africa/2025-03-05	EPI4246407	2025-03-05	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19826187	2025-03-05	EPI4246407|R01831_25A_4	3C.2a1b.2a.2a.3a.1	2025-03-05	2025
epi4246399/africa/south_africa/2025-02-24	EPI4246399	2025-02-24	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19826186	2025-02-24	EPI4246399|R01713_25A_4	3C.2a1b.2a.2a.3a.1	2025-02-24	2025
epi4246391/africa/south_africa/2025-02-13	EPI4246391	2025-02-13	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19826185	2025-02-13	EPI4246391|R01597_25A_4	3C.2a1b.2a.2a.3a.1	2025-02-13	2025
epi4246368/africa/south_africa/2025-01-28	EPI4246368	2025-01-28	unchanged	Africa	South Africa	KwaZulu Natal			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2	98.9522700814901	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19826182	2025-01-28	EPI4246368|R01135_25A_4	3C.2a1b.2a.2a.3a.1	2025-01-28	2025
epi3293081/africa/south_africa/2024-03-28	EPI3293081	2024-03-28	unchanged	Africa	South Africa	Mpumalanga			A / H3N2	3C.2a1b.2a.2b	2b	G.2	7.85797438882421	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19139328	2024-03-28	EPI3293081|R02427-24-A_4	3C.2a1b.2a	2024-03-28	2024
epi2774417/africa/south_africa/2021-11-05	EPI2774417	2021-11-05	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.1b	3C.2a1b.1b	D	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_18385072	2021-11-05	EPI2774417|R16114-21_4	3C.2a1b.1b	2021-11-05	2021
epi2774404/africa/south_africa/2021-11-02	EPI2774404	2021-11-02	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.1b	3C.2a1b.1b	D	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_18385070	2021-11-02	EPI2774404|R15823-21_4	3C.2a1b.1b	2021-11-02	2021
epi2774268/africa/south_africa/2023-06-12	EPI2774268	2023-06-12	unchanged	Africa	South Africa	Limpopo			A / H3N2	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_18385050	2023-06-12	EPI2774268|R06909-23_4	3C.2a1b.2a.2a.1b	2023-06-12	2023
epi2774188/africa/south_africa/2023-06-09	EPI2774188	2023-06-09	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_18385030	2023-06-09	EPI2774188|R06895-23_4	3C.2a1b.2a.2a.3a.1	2023-06-09	2023
epi2774130/africa/south_africa/2023-06-07	EPI2774130	2023-06-07	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_18385023	2023-06-07	EPI2774130|R06627-23_4	3C.2a1b.2a.2a.3a.1	2023-06-07	2023
