name	ha_id	collection_date	date_flags	region	country	division	location_1	location_2	subtype	clade_nextclade	short-clade	subclade	coverage	host	submitting_lab	accession_id	old_date	ha_segment_id	clade_gisaid	date	year
epi3629995/africa/south_africa/2024-09-06	EPI3629995	2024-09-06	unchanged	Africa	South Africa	Mpumalanga			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19531030	2024-09-06	EPI3629995|R07790-24_4	3C.2a1b.2a.2a.3a.1	2024-09-06	2024
epi3352715/africa/south_africa/2023-08-07	EPI3352715	2023-08-07	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177771	2023-08-07	EPI3352715|R09020-23_4	3C.2a1b.2a.2a.3a.1	2023-08-07	2023
epi3352707/africa/south_africa/2023-07-04	EPI3352707	2023-07-04	unchanged	Africa	South Africa	Mpumalanga			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177770	2023-07-04	EPI3352707|R07941-23_4	3C.2a1b.2a.2a.3a.1	2023-07-04	2023
epi3352699/africa/south_africa/2023-07-04	EPI3352699	2023-07-04	unchanged	Africa	South Africa	Mpumalanga			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177769	2023-07-04	EPI3352699|R07938-23_4	3C.2a1b.2a.2a.3a.1	2023-07-04	2023
epi3352691/africa/south_africa/2023-07-04	EPI3352691	2023-07-04	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177768	2023-07-04	EPI3352691|R07902-23_4	3C.2a1b.2a.2a.3a.1	2023-07-04	2023
epi3352683/africa/south_africa/2023-07-04	EPI3352683	2023-07-04	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177767	2023-07-04	EPI3352683|R07890-23_4	3C.2a1b.2a.2a.3a.1	2023-07-04	2023
epi3352675/africa/south_africa/2023-07-03	EPI3352675	2023-07-03	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177766	2023-07-03	EPI3352675|R07841-23_4	3C.2a1b.2a.2a.3a.1	2023-07-03	2023
epi3352668/africa/south_africa/2023-07-04	EPI3352668	2023-07-04	unchanged	Africa	South Africa	Mpumalanga			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177765	2023-07-04	EPI3352668|R07785-23_4	3C.2a1b.2a.2a.3a.1	2023-07-04	2023
epi3352662/africa/south_africa/2023-07-03	EPI3352662	2023-07-03	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177764	2023-07-03	EPI3352662|R07734-23_4	3C.2a1b.2a.2a.3a.1	2023-07-03	2023
epi3352654/africa/south_africa/2023-06-19	EPI3352654	2023-06-19	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177763	2023-06-19	EPI3352654|R07324-23_4	3C.2a1b.2a.2a.3a.1	2023-06-19	2023
epi3352646/africa/south_africa/2023-06-08	EPI3352646	2023-06-08	unchanged	Africa	South Africa	Province of Eastern Cape			A / H3N2	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177762	2023-06-08	EPI3352646|R06959-23_4	3C.2a1b.2a.2a.1b	2023-06-08	2023
epi3352638/africa/south_africa/2023-06-06	EPI3352638	2023-06-06	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177761	2023-06-06	EPI3352638|R06721-23_4	3C.2a1b.2a.2a.3a.1	2023-06-06	2023
epi3352634/africa/south_africa/2023-06-06	EPI3352634	2023-06-06	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177760	2023-06-06	EPI3352634|R06717-23_4	3C.2a1b.2a.2a.3a.1	2023-06-06	2023
epi3352628/africa/south_africa/2023-06-07	EPI3352628	2023-06-07	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177759	2023-06-07	EPI3352628|R06715-23_4	3C.2a1b.2a.2a.3a.1	2023-06-07	2023
epi3352620/africa/south_africa/2023-06-06	EPI3352620	2023-06-06	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	98.9522700814901	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177758	2023-06-06	EPI3352620|R06588-23_4	3C.2a1b.2a.2a.3a.1	2023-06-06	2023
epi3352612/africa/south_africa/2023-05-23	EPI3352612	2023-05-23	unchanged	Africa	South Africa	Mpumalanga			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177757	2023-05-23	EPI3352612|R05840-23_4	3C.2a1b.2a.2a.3a.1	2023-05-23	2023
epi3352604/africa/south_africa/2023-05-24	EPI3352604	2023-05-24	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177756	2023-05-24	EPI3352604|R05707-23_4	3C.2a1b.2a.2a.3a.1	2023-05-24	2023
epi3352596/africa/south_africa/2023-05-22	EPI3352596	2023-05-22	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177755	2023-05-22	EPI3352596|R05517-23_4	3C.2a1b.2a.2a.3a.1	2023-05-22	2023
epi3352588/africa/south_africa/2023-05-16	EPI3352588	2023-05-16	unchanged	Africa	South Africa	North West			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177754	2023-05-16	EPI3352588|R05217-23_4	3C.2a1b.2a.2a.3a.1	2023-05-16	2023
epi3352580/africa/south_africa/2023-05-08	EPI3352580	2023-05-08	unchanged	Africa	South Africa	KwaZulu Natal			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177753	2023-05-08	EPI3352580|R05025-23_4	3C.2a1b.2a.2a.3a.1	2023-05-08	2023
epi3352572/africa/south_africa/2023-05-07	EPI3352572	2023-05-07	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177752	2023-05-07	EPI3352572|R04777-23_4	3C.2a1b.2a.2a.1b	2023-05-07	2023
epi3352564/africa/south_africa/2023-04-26	EPI3352564	2023-04-26	unchanged	Africa	South Africa	Province of the Western Cape			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177751	2023-04-26	EPI3352564|R04354-23_4	3C.2a1b.2a.2a.3a.1	2023-04-26	2023
epi3352556/africa/south_africa/2023-04-24	EPI3352556	2023-04-24	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177750	2023-04-24	EPI3352556|R04352-23_4	3C.2a1b.2a.2a.3a.1	2023-04-24	2023
epi3352548/africa/south_africa/2023-04-20	EPI3352548	2023-04-20	unchanged	Africa	South Africa	Province of Eastern Cape			A / H3N2	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	98.9522700814901	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177749	2023-04-20	EPI3352548|R03946-23_4	3C.2a1b.2a.2a.1b	2023-04-20	2023
epi3352540/africa/south_africa/2023-04-18	EPI3352540	2023-04-18	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_19177748	2023-04-18	EPI3352540|R03793-23_4	3C.2a1b.2a.2a.1b	2023-04-18	2023
epi2610684/africa/south_africa/2023-05-24	EPI2610684	2023-05-24	unchanged	Africa	South Africa	North West			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_17949168	2023-05-24	EPI2610684|R05672-23_4	3C.2a1b.2a.2a.3a.1	2023-05-24	2023
epi2610680/africa/south_africa/2023-05-24	EPI2610680	2023-05-24	unchanged	Africa	South Africa	North West			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_17949167	2023-05-24	EPI2610680|R05671-23_4	3C.2a1b.2a.2a.3a.1	2023-05-24	2023
epi2610673/africa/south_africa/2023-05-23	EPI2610673	2023-05-23	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_17949166	2023-05-23	EPI2610673|R05656-23_4	3C.2a1b.2a.2a.3a.1	2023-05-23	2023
epi2610665/africa/south_africa/2023-05-23	EPI2610665	2023-05-23	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_17949165	2023-05-23	EPI2610665|R05655-23_4	3C.2a1b.2a.2a.3a.1	2023-05-23	2023
epi2610657/africa/south_africa/2023-05-23	EPI2610657	2023-05-23	unchanged	Africa	South Africa	Eastern cape			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_17949164	2023-05-23	EPI2610657|R05648-23_4	3C.2a1b.2a.2a.3a.1	2023-05-23	2023
epi2610649/africa/south_africa/2023-05-24	EPI2610649	2023-05-24	unchanged	Africa	South Africa	Gauteng			A / H3N2	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	99.0104772991851	Human	National Institute for Communicable Diseases (NICD)	EPI_ISL_17949163	2023-05-24	EPI2610649|R05650-23_4	3C.2a1b.2a.2a.3a.1	2023-05-24	2023
